Technical;E&ECE;;Technical;E&ECE;;Technical;E&ECE;
Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mechanical Engineering: Fluid Mechanics, CFD;;Technical;Mechanical Engineering: Fluid Mechanics, CFD;
Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;
Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;;Technical;Electronics & Electrical Communication Engineering: Any;
Non-Technical;Consulting;;Non-Technical;Business Administration;;Non-Technical;Business Administration;
Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
Technical;No Specific area of interest: Any;;Non-Technical;Any;;Technical;Mechanical Engineering: Any;
Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;
Technical;Mechanical Engineering: Power Plant and I.C. Engine;;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;No Specific area of interest: Any;
Non-Technical;Business Administration;;Non-Technical;Business Administration;;Non-Technical;Business Administration;
Technical;Computer Science and Engineering: Embedded Systems;;Technical;Computer Science and Engineering: Any;;Technical;Computer Science and Engineering: Networks;
Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mechanical Engineering: Fluid Mechanics, CFD;
Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;;Technical;No Specific area of interest: Any;
Non-Technical;Enterpreneurship;;Non-Technical;Enterpreneurship;;Technical;Metallurgical Engineering and Material Science: Polymers/Composites;
Technical;Computer Science:Any;;Technical;Electrical Engineering:Any;;Technical;Electrical Engineering:Any;
Technical;Electrical Engineering: Any;;Technical;Electrical Engineering: Any;;Technical;Electrical Engineering: Any;
Technical;Computer Science and Engineering: Distributed Systems;;Technical;Computer Science and Engineering: Digital Image Processing;;Technical;Computer Science and Engineering: Machine Learning/Data Mining;
Technical;Computer Science and Engineering: Any;;Technical;Computer Science and Engineering: Machine Learning/Data Mining;;Technical;Computer Science and Engineering: Software Engineering;
Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electrical Engineering: Any;;Non-Technical;Any;
Technical;Industrial and Systems Engineering;;Technical;Industrial and Systems Engineering;;Technical;Industrial and Systems Engineering;
Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;
Technical;Biotechnology: Any;;Technical;Biotechnology: Any;;Technical;No Specific area of interest: Any;
Technical;Computer Science and Engineering: Software Engineering;;Technical;Computer Science and Engineering: Software Engineering;;Technical;Computer Science and Engineering: Digital Image Processing;
Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mechanical Engineering: Fluid Mechanics, CFD;;Technical;Mechanical Engineering: MEMS;
Technical;Mechanical Engineering: CAD-CAM Robotics,Artificial Intelligence;;Technical;Mechanical Engineering: CAD-CAM Robotics,Artificial Intelligence;;Technical;Computer Science and Engineering: Embedded Systems;
Technical;Agricultural & Food Engineering: Any;;Technical;Chemical Engineering: Bioprocess Engineering and Food Engineering;;Technical;Agricultural & Food Engineering: Any;
Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;
Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;
Technical;Physics: Semiconductor Nanomaterials;;Technical;Engineering Physics: Semiconductor Nanomaterials;;Technical;Physics: Nano Scale Physics;
Technical;Geological Sciences: Petrology;;Technical;Geological Sciences: Petrology;;Technical;Geological Sciences: Petrology;
